signal_index,symbol,signal_date,market_cap,sector,status,signal_candle_high,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
133,INDIANHUME,01-11-2013,Smallcap,Realty,Completed,63.61,63.61,2014-04-01,134.25,2015-02-01,Target 1 - Red Doji,10,111.05,145.05,7.76,165.0,2015-01-01,16.67,,134.25,123.41
134,ORIENTCER,01-11-2013,Smallcap,Building Materials,No Data,,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
135,HINDCOMPOS,01-11-2013,Smallcap,Auto,Completed,109.12,109.12,2013-12-01,312.57,2016-02-01,Target 2 - Below 21 EMA,26,186.45,62.53,4.13,466.94,2015-10-01,2.9,,,312.57
136,SHIVATEX,01-11-2013,Smallcap,Textiles,Completed,29.28,29.28,2014-06-01,28.06,2014-08-01,Stop Loss,2,-4.17,-22.54,-2.11,39.49,2014-06-01,15.43,28.06,,
137,SHREYANIND,01-11-2013,Smallcap,Building Materials,Completed,17.68,17.68,2014-03-01,26.11,2014-10-01,Target 1 - Red Doji,7,47.64,95.02,5.72,31.41,2014-08-01,8.89,,26.11,22.75
138,JTEKTINDIA,01-11-2013,Smallcap,Auto,Completed,16.23,16.23,2013-12-01,15.77,2014-01-01,Stop Loss,1,-2.86,-29.38,-2.86,19.71,2014-01-01,11.43,15.77,47.78,36.16
139,POLYPLEX,01-11-2013,Smallcap,Industrials,Completed,94.89,94.89,2013-12-01,81.82,2014-01-01,Stop Loss,1,-13.77,-83.1,-13.77,99.74,2013-12-01,17.85,81.82,,81.82
140,LIBERTSHOE,01-11-2013,Smallcap,Consumer Discretionary,Completed,102.4,102.4,2013-12-01,242.79,2015-03-01,Target 1 - Red Doji,15,137.1,99.5,5.92,342.78,2014-07-01,9.63,,242.79,227.44
141,INDRAMEDCO,01-11-2013,Smallcap,Healthcare,Completed,29.55,29.55,2014-03-01,28.79,2014-04-01,Stop Loss,1,-2.57,-26.81,-2.57,33.91,2014-04-01,11.42,28.79,,45.6
142,SONATSOFTW,01-11-2013,Midcap,I.T,Completed,8.52,8.52,2013-12-01,37.43,2015-05-01,Target 1 - Red Doji,17,339.47,184.34,9.1,46.91,2015-04-01,8.07,,37.43,34.53
143,AXISCADES,01-11-2013,Midcap,Aerospace & Defence,Completed,63.8,63.8,2014-04-01,188.0,2016-02-01,Target 2 - Below 21 EMA,22,194.67,80.3,5.03,396.2,2015-04-01,31.03,,,188.0
144,TVTODAY,01-11-2013,Smallcap,Media,Completed,80.12,80.12,2014-04-01,88.21,2014-07-01,Target 1 - Red Doji,3,10.1,46.92,3.26,100.49,2014-05-01,6.84,,88.21,121.57
145,REPRO,01-11-2013,Smallcap,Miscellaneous,Completed,175.34,175.34,2014-05-01,393.22,2015-08-01,Target 1 - Red Doji,15,124.26,90.81,5.53,594.45,2015-05-01,21.15,,393.22,359.85
146,NITINSPIN,01-11-2013,Smallcap,Textiles,Completed,12.14,12.14,2013-12-01,11.85,2014-03-01,Stop Loss,3,-2.43,-9.37,-0.82,15.94,2014-01-01,14.58,11.85,,11.85
147,CNXSMALLCAP,01-11-2013,Smallcap,Indices,No Data,,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
148,ABB,02-12-2013,Largecap,Industrials,Completed,623.93,623.93,2014-02-01,1154.53,2015-06-01,Target 1 - Red Doji,16,85.04,58.65,3.92,1326.52,2015-02-01,21.28,,1154.53,923.89
149,SBIN,02-12-2013,Largecap,Bank,Completed,169.0,169.0,2014-03-01,219.33,2014-08-01,Target 1 - Red Doji,5,29.78,86.95,5.35,251.23,2014-05-01,21.26,,219.33,223.26
150,INGERRAND,02-12-2013,Midcap,Industrials,Completed,284.37,284.37,2014-03-01,513.3,2015-08-01,Target 2 - Below 21 EMA,17,80.5,51.72,3.54,738.15,2015-04-01,18.02,,,513.3
151,CENTENKA,02-12-2013,Smallcap,Textiles,Completed,118.14,118.14,2014-05-01,118.12,2015-02-01,Target 1 - Red Doji,9,-0.02,-0.02,-0.0,146.09,2014-07-01,12.96,111.14,118.12,111.14
152,CUMMINSIND,02-12-2013,Largecap,Industrials,Completed,393.82,393.82,2014-02-01,713.23,2015-04-01,Target 1 - Red Doji,14,81.11,66.38,4.33,794.77,2015-01-01,12.37,,713.23,675.56
153,VOLTAS,02-12-2013,Largecap,Consumer Discretionary,Completed,115.65,115.65,2014-02-01,267.1,2015-10-01,Target 1 - Red Doji,20,130.96,65.24,4.27,336.75,2015-06-01,16.56,,267.1,210.51
154,GREAVESCOT,02-12-2013,Midcap,Industrials,Completed,55.3,55.3,2014-03-01,103.93,2015-10-01,Target 2 - Below 21 EMA,19,87.92,48.95,3.38,129.96,2015-01-01,16.93,,,103.93
155,SRF,02-12-2013,Largecap,Chemicals,Completed,42.31,42.31,2014-03-01,222.38,2016-01-01,Target 1 - Red Doji,22,425.6,147.22,7.83,284.53,2015-08-01,6.07,,222.38,
156,IFBIND,02-12-2013,Midcap,Consumer Discretionary,Completed,82.5,82.5,2014-03-01,519.4,2015-08-01,Target 1 - Red Doji,17,529.58,266.47,11.43,700.0,2015-04-01,12.18,,519.4,411.05
157,HIMATSEIDE,02-12-2013,Smallcap,Textiles,Completed,51.11,51.11,2014-01-01,78.18,2015-01-01,Target 1 - Red Doji,12,52.96,52.96,3.61,95.89,2014-11-01,12.52,,78.18,
158,TRIGYN,02-12-2013,Smallcap,I.T,Completed,16.92,16.92,2014-01-01,41.47,2014-11-01,Target 1 - Red Doji,10,145.03,193.14,9.38,61.22,2014-09-01,-4.6,,41.47,32.14
159,ASHAPURMIN,02-12-2013,Midcap,Metals & Mining,Completed,70.13,70.13,2014-05-01,67.46,2014-07-01,Stop Loss,2,-3.81,-20.78,-1.92,90.31,2014-06-01,20.59,67.46,69.44,61.62
160,NRBBEARING,02-12-2013,Smallcap,Industrials,Completed,33.43,33.43,2014-01-01,91.27,2015-06-01,Target 2 - Below 21 EMA,17,173.03,103.2,6.09,131.93,2015-03-01,15.95,,,91.27
161,NUCLEUS,02-12-2013,Smallcap,I.T,Completed,114.63,114.63,2014-01-01,152.61,2014-05-01,Target 1 - Red Doji,4,33.14,135.98,7.42,201.73,2014-04-01,6.92,,152.61,152.16
162,TCI,02-12-2013,Midcap,Transportation,Completed,39.91,39.91,2014-01-01,111.16,2015-09-01,Target 1 - Red Doji,20,178.55,84.9,5.26,147.97,2015-08-01,5.92,,111.16,103.83
163,GINNIFILA,02-12-2013,Smallcap,Textiles,Completed,13.1,13.1,2014-05-01,11.95,2014-11-01,Stop Loss,6,-8.78,-16.79,-1.52,19.9,2014-09-01,27.86,11.95,,11.95
164,KCP,02-12-2013,Smallcap,Building Materials,Completed,26.43,26.43,2014-02-01,57.36,2015-05-01,Target 1 - Red Doji,15,117.04,85.88,5.3,78.68,2015-01-01,9.91,,57.36,54.32
165,KOTHARIPET,02-12-2013,Smallcap,Energy,Completed,7.95,7.95,2014-04-01,9.62,2015-03-01,Target 2 - Below 21 EMA,11,21.01,23.13,1.75,16.04,2015-01-01,22.07,,,9.62
166,TIRUMALCHM,01-01-2014,Smallcap,Chemicals,Completed,9.74,9.74,2014-09-01,8.9,2014-10-01,Stop Loss,1,-8.66,-66.27,-8.66,10.33,2014-09-01,18.4,8.9,,8.15
167,VIPIND,01-01-2014,Midcap,Plastic products,Completed,65.91,65.91,2014-02-01,90.08,2014-08-01,Target 1 - Red Doji,6,36.67,86.78,5.34,111.64,2014-07-01,24.08,,90.08,86.03
168,HEG,01-01-2014,Midcap,Industrials,Completed,34.23,34.23,2014-02-01,32.35,2014-03-01,Stop Loss,1,-5.5,-49.25,-5.5,36.34,2014-02-01,10.45,32.35,43.12,37.68
169,VINDHYATEL,01-01-2014,Smallcap,Realty,Completed,156.75,156.75,2014-04-01,458.54,2015-03-01,Target 1 - Red Doji,11,192.53,222.52,10.25,533.67,2015-01-01,30.46,,458.54,536.4
170,IGARASHI,01-01-2014,Smallcap,Industrials,Completed,72.1,72.1,2014-02-01,308.87,2016-02-01,Target 2 - Below 21 EMA,24,328.41,106.98,6.25,629.7,2015-08-01,14.51,,,308.87
171,HITECHGEAR,01-01-2014,Smallcap,Auto,Completed,80.33,80.33,2014-03-01,263.1,2015-03-01,Target 1 - Red Doji,12,227.51,227.51,10.39,327.67,2015-02-01,15.54,,263.1,211.47
172,KABRAEXTRU,01-01-2014,Smallcap,Industrials,Completed,31.65,31.65,2014-04-01,69.04,2015-05-01,Target 1 - Red Doji,13,118.15,105.45,6.18,88.35,2015-01-01,20.95,,69.04,64.58
173,CYBERTECH,01-01-2014,Smallcap,I.T,Completed,22.75,22.75,2014-02-01,17.94,2014-03-01,Stop Loss,1,-21.13,-94.21,-21.13,23.54,2014-02-01,22.3,17.94,,17.94
174,INDNIPPON,01-01-2014,Smallcap,Auto,Completed,84.95,84.95,2014-05-01,166.35,2015-02-01,Target 1 - Red Doji,9,95.83,145.0,7.75,208.6,2015-01-01,14.68,,166.35,149.3
175,RAMCOSYS,01-01-2014,Smallcap,I.T,Completed,202.02,202.02,2014-03-01,162.45,2014-04-01,Stop Loss,1,-19.59,-92.69,-19.59,238.25,2014-03-01,20.31,162.45,162.45,162.45
176,SAKSOFT,01-01-2014,Smallcap,I.T,Completed,6.59,6.59,2014-06-01,10.33,2015-04-01,Target 1 - Red Doji,10,56.64,71.36,4.59,16.41,2015-01-01,23.56,,10.33,12.23
177,SUNDRMFAST,03-02-2014,Largecap,Auto,Completed,44.64,44.64,2014-03-01,161.44,2015-04-01,Target 1 - Red Doji,13,261.63,227.58,10.39,197.77,2015-02-01,4.9,,161.44,138.98
178,DEEPAKFERT,03-02-2014,Midcap,Chemicals,Completed,93.7,93.7,2014-04-01,103.25,2014-11-01,Target 2 - Below 21 EMA,7,10.19,18.1,1.4,142.34,2014-09-01,6.28,,,103.25
179,GARFIBRES,03-02-2014,Midcap,Textiles,Completed,12.11,12.11,2014-03-01,37.11,2015-05-01,Target 1 - Red Doji,14,206.55,161.22,8.33,44.46,2015-02-01,12.31,,37.11,
180,SHREYANIND,03-02-2014,Smallcap,Building Materials,Completed,17.49,17.49,2014-03-01,26.11,2014-10-01,Target 1 - Red Doji,7,49.26,98.7,5.89,31.41,2014-08-01,7.89,,26.11,22.75
181,MASTEK,03-02-2014,Midcap,I.T,Completed,189.63,189.63,2014-03-01,145.13,2014-04-01,Stop Loss,1,-23.47,-95.96,-23.47,192.07,2014-03-01,24.0,145.13,145.13,145.13
182,BALPHARMA,03-02-2014,Smallcap,Healthcare,Completed,31.61,31.61,2014-03-01,29.56,2014-04-01,Stop Loss,1,-6.5,-55.36,-6.5,36.47,2014-03-01,17.84,29.56,25.71,25.71
183,KOTHARIPRO,03-02-2014,Smallcap,Services,Completed,67.24,67.24,2014-03-01,59.31,2014-04-01,Stop Loss,1,-11.8,-77.84,-11.8,80.84,2014-04-01,15.62,59.31,59.59,65.76
184,ALLCARGO,03-02-2014,Smallcap,Transportation,Completed,17.33,17.33,2014-04-01,33.78,2015-05-01,Target 1 - Red Doji,13,94.95,85.19,5.27,39.11,2015-04-01,18.35,,33.78,28.55
185,ABB,03-03-2014,Largecap,Industrials,Completed,746.15,746.15,2014-04-01,1154.53,2015-06-01,Target 1 - Red Doji,14,54.73,45.38,3.17,1326.52,2015-02-01,6.02,,1154.53,923.89
186,BANARISUG,03-03-2014,Smallcap,FMCG,Completed,897.22,897.22,2014-04-01,852.41,2014-07-01,Stop Loss,3,-4.99,-18.53,-1.69,1141.28,2014-06-01,16.07,852.41,1058.8,767.35
187,CGPOWER,03-03-2014,Largecap,Industrials,Completed,55.36,55.36,2014-04-01,63.8,2014-10-01,Target 1 - Red Doji,6,15.25,32.83,2.39,78.18,2014-09-01,9.3,,63.8,61.4
188,GFLLIMITED,03-03-2014,Smallcap,Financials,Completed,21.29,21.29,2014-04-01,48.75,2015-03-01,Target 1 - Red Doji,11,128.95,146.85,7.82,56.36,2014-11-01,11.87,,48.75,43.24
189,AGI,03-03-2014,Midcap,Industrials,Completed,25.95,25.95,2014-04-01,69.43,2014-12-01,Target 1 - Red Doji,8,167.53,337.59,13.09,84.35,2014-10-01,3.49,,69.43,59.95
190,INGERRAND,03-03-2014,Midcap,Industrials,Completed,311.81,311.81,2014-05-01,513.3,2015-08-01,Target 2 - Below 21 EMA,15,64.62,49.0,3.38,738.15,2015-04-01,7.92,,,513.3
191,TATAINVEST,03-03-2014,Largecap,Financials,Completed,386.67,386.67,2014-05-01,439.89,2015-01-01,Target 1 - Red Doji,8,13.76,21.34,1.63,478.75,2014-11-01,8.81,,439.89,437.38
192,GREAVESCOT,03-03-2014,Midcap,Industrials,Completed,65.44,65.44,2014-04-01,101.88,2015-05-01,Target 2 - Below 21 EMA,13,55.67,50.46,3.46,129.96,2015-01-01,7.85,,,101.88
193,AUTOAXLES,03-03-2014,Smallcap,Auto,Completed,351.65,351.65,2014-05-01,636.62,2015-01-01,Target 1 - Red Doji,8,81.03,143.58,7.7,760.66,2014-11-01,10.72,,636.62,575.93
194,ADANIENT,03-03-2014,Largecap,Services,Completed,52.62,52.62,2014-04-01,70.09,2014-12-01,Target 1 - Red Doji,8,33.21,53.75,3.65,82.57,2014-05-01,6.92,46.55,70.09,46.55
195,HITECHGEAR,03-03-2014,Smallcap,Auto,Completed,83.09,83.09,2014-04-01,263.1,2015-03-01,Target 1 - Red Doji,11,216.63,251.61,11.05,327.67,2015-02-01,9.53,,263.1,211.47
196,JAYAGROGN,03-03-2014,Smallcap,Chemicals,Completed,42.14,42.14,2014-04-01,55.89,2014-12-01,Target 1 - Red Doji,8,32.61,52.71,3.59,68.98,2014-11-01,6.27,,55.89,48.04
197,TFCILTD,03-03-2014,Smallcap,Financials,Completed,4.03,4.03,2014-04-01,9.07,2015-06-01,Target 2 - Below 21 EMA,14,124.95,100.35,5.96,15.52,2015-02-01,8.84,,,9.07
198,IOC,03-03-2014,Largecap,Energy,Completed,24.93,24.93,2014-05-01,31.47,2015-05-01,Target 1 - Red Doji,12,26.23,26.23,1.96,36.33,2014-09-01,9.0,,31.47,33.03
199,EVEREADY,03-03-2014,Smallcap,Industrials,Completed,45.27,45.27,2014-04-01,282.92,2015-08-01,Target 1 - Red Doji,16,525.0,295.28,12.14,367.93,2015-07-01,5.27,,282.92,217.32
200,ENGINERSIN,03-03-2014,Midcap,Realty,Completed,81.91,81.91,2014-04-01,83.07,2014-08-01,Target 2 - Below 21 EMA,4,1.41,4.3,0.35,117.77,2014-07-01,13.74,,,83.07
201,INDNIPPON,03-03-2014,Smallcap,Auto,Completed,80.79,80.79,2014-04-01,166.35,2015-02-01,Target 1 - Red Doji,10,105.9,137.9,7.49,208.6,2015-01-01,10.3,,166.35,153.49
202,SASKEN,03-03-2014,Smallcap,I.T,Completed,125.38,125.38,2014-04-01,165.77,2014-11-01,Target 1 - Red Doji,7,32.22,61.41,4.07,221.84,2014-09-01,9.06,,165.77,145.65
203,AURIONPRO,03-03-2014,Midcap,I.T,Completed,80.35,80.35,2014-07-01,89.73,2014-12-01,Target 1 - Red Doji,5,11.67,30.33,2.23,129.14,2014-08-01,13.12,74.34,89.73,74.34
204,JAGRAN,03-03-2014,Smallcap,Media,Completed,75.66,75.66,2014-04-01,83.33,2015-04-01,Target 2 - Below 21 EMA,12,10.13,10.13,0.81,114.55,2014-12-01,6.3,,,83.33
205,ABREL,01-04-2014,Midcap,Realty,Completed,365.02,365.02,2014-05-01,478.6,2015-02-01,Target 1 - Red Doji,9,31.11,43.51,3.06,619.47,2014-07-01,15.16,,478.6,478.6
206,HINDPETRO,01-04-2014,Largecap,Energy,Completed,29.23,29.23,2014-05-01,71.85,2015-10-01,Target 1 - Red Doji,17,145.81,88.68,5.43,89.86,2015-08-01,3.93,,71.85,64.32
207,SBIN,01-04-2014,Largecap,Bank,Completed,188.31,188.31,2014-05-01,219.33,2014-08-01,Target 1 - Red Doji,3,16.47,84.03,5.21,251.23,2014-05-01,4.23,,219.33,237.16
208,DCW,01-04-2014,Smallcap,Energy,Completed,14.42,14.42,2014-05-01,23.81,2014-10-01,Target 1 - Red Doji,5,65.19,233.54,10.56,30.64,2014-09-01,13.76,,23.81,16.94
209,KAKATCEM,01-04-2014,Smallcap,Building Materials,Completed,74.41,74.41,2014-05-01,89.83,2014-08-01,Target 1 - Red Doji,3,20.72,112.4,6.48,121.88,2014-06-01,15.17,,89.83,87.07
210,CENTENKA,01-04-2014,Smallcap,Textiles,Completed,115.63,115.63,2014-05-01,117.23,2014-11-01,Target 2 - Below 21 EMA,6,1.39,2.8,0.23,146.09,2014-07-01,11.06,,,117.23
211,RAYMOND,01-04-2014,Smallcap,Transportation,Completed,332.3,332.3,2014-05-01,419.09,2015-05-01,Target 2 - Below 21 EMA,12,26.12,26.12,1.95,561.2,2014-12-01,15.77,,,419.09
212,PRSMJOHNSN,01-04-2014,Midcap,Building Materials,Completed,48.43,48.43,2014-05-01,88.05,2015-09-01,Target 2 - Below 21 EMA,16,81.84,56.59,3.81,131.88,2015-04-01,7.76,,,88.05
213,SUNFLAG,01-04-2014,Smallcap,Metals & Mining,Completed,23.1,23.1,2014-05-01,28.34,2014-10-01,Target 1 - Red Doji,5,22.69,63.36,4.17,33.0,2014-09-01,10.92,,28.34,23.0
214,ASHOKLEY,01-04-2014,Largecap,Auto,Completed,10.53,10.53,2014-05-01,36.92,2015-12-01,Target 1 - Red Doji,19,250.55,120.83,6.82,41.86,2015-08-01,14.06,,36.92,33.78
215,GSFC,01-04-2014,Midcap,Chemicals,Completed,44.76,44.76,2014-05-01,79.6,2014-12-01,Target 1 - Red Doji,7,77.85,168.32,8.57,94.42,2014-11-01,9.99,,79.6,63.11
216,TATACHEM,01-04-2014,Largecap,Chemicals,Completed,86.57,86.57,2014-05-01,122.95,2015-09-01,Target 2 - Below 21 EMA,16,42.03,30.1,2.22,162.12,2015-08-01,6.84,,,122.95
217,INDHOTEL,01-04-2014,Largecap,Services,Completed,67.98,67.98,2014-05-01,84.91,2014-08-01,Target 1 - Red Doji,3,24.9,143.38,7.69,98.5,2014-06-01,12.03,,84.91,89.75
218,MANGLMCEM,01-04-2014,Smallcap,Building Materials,Completed,142.75,142.75,2014-05-01,235.36,2015-06-01,Target 2 - Below 21 EMA,13,64.88,58.66,3.92,338.16,2014-11-01,16.71,,,235.36
219,TALBROAUTO,01-04-2014,Smallcap,Auto,Completed,13.86,13.86,2014-05-01,24.66,2015-05-01,Target 1 - Red Doji,12,77.87,77.87,4.92,31.9,2015-04-01,35.92,,24.66,19.64
220,DYNAMATECH,01-04-2014,Smallcap,Industrials,Completed,863.38,863.38,2014-05-01,1951.75,2014-12-01,Target 1 - Red Doji,7,126.06,304.8,12.36,2498.75,2014-10-01,7.36,,1951.75,2233.77
221,RANEHOLDIN,01-04-2014,Smallcap,Financials,Completed,190.81,190.81,2014-05-01,516.03,2015-09-01,Target 1 - Red Doji,16,170.45,110.89,6.42,633.97,2015-08-01,12.63,,516.03,427.54
222,KANORICHEM,01-04-2014,Smallcap,Chemicals,Completed,29.76,29.76,2014-05-01,39.17,2014-08-01,Target 1 - Red Doji,3,31.6,199.95,9.59,47.63,2014-06-01,12.99,,39.17,34.87
223,TAINWALCHM,01-04-2014,Smallcap,Services,Completed,18.7,18.7,2014-05-01,18.75,2014-07-01,Stop Loss,2,0.26,1.59,0.13,26.1,2014-06-01,10.03,18.75,18.75,18.75
224,VINDHYATEL,01-04-2014,Smallcap,Realty,Completed,167.19,167.19,2014-05-01,458.54,2015-03-01,Target 1 - Red Doji,10,174.26,235.59,10.62,533.67,2015-01-01,34.8,,458.54,536.4
225,WILLAMAGOR,01-04-2014,Smallcap,Financials,Completed,50.6,50.6,2014-05-01,49.15,2014-06-01,Stop Loss,1,-2.87,-29.45,-2.87,52.95,2014-05-01,24.6,49.15,65.85,60.55
226,ZODIACLOTH,01-04-2014,Smallcap,Consumer Discretionary,Completed,271.29,271.29,2014-05-01,375.62,2014-11-01,Target 1 - Red Doji,6,38.46,91.71,5.57,435.21,2014-05-01,7.53,,375.62,274.62
227,PRECWIRE,01-04-2014,Smallcap,Metals & Mining,Completed,4.87,4.87,2014-05-01,7.2,2015-09-01,Target 1 - Red Doji,16,47.86,34.09,2.47,8.9,2015-01-01,9.42,,7.2,7.35
228,EIMCOELECO,01-04-2014,Smallcap,Industrials,Completed,235.97,235.97,2014-05-01,383.39,2016-01-01,Target 1 - Red Doji,20,62.48,33.8,2.46,625.5,2015-07-01,5.71,,383.39,383.39
229,KABRAEXTRU,01-04-2014,Smallcap,Industrials,Completed,34.19,34.19,2014-05-01,69.04,2015-05-01,Target 1 - Red Doji,12,101.92,101.92,6.03,88.35,2015-01-01,17.93,,69.04,64.58
230,VIMTALABS,01-04-2014,Smallcap,Healthcare,Completed,50.95,50.95,2014-05-01,48.81,2014-06-01,Stop Loss,1,-4.19,-40.16,-4.19,61.46,2014-05-01,20.09,48.81,46.16,35.71
231,SEAMECLTD,01-04-2014,Smallcap,Miscellaneous,Completed,115.21,115.21,2014-06-01,104.71,2014-07-01,Stop Loss,1,-9.11,-68.22,-9.11,129.69,2014-07-01,16.98,104.71,,113.58
232,CONCOR,01-04-2014,Largecap,Transportation,Completed,299.83,299.83,2014-05-01,469.07,2015-07-01,Target 1 - Red Doji,14,56.45,46.76,3.25,556.47,2015-06-01,10.87,,469.07,407.15
233,RAJESHEXPO,01-04-2014,Midcap,Consumer Discretionary,Completed,116.7,116.7,2014-05-01,139.43,2014-08-01,Target 1 - Red Doji,3,19.48,103.79,6.11,198.91,2014-06-01,5.46,,139.43,428.2
234,GMDCLTD,01-04-2014,Midcap,Metals & Mining,Completed,104.8,104.8,2014-05-01,97.26,2014-11-01,Stop Loss,6,-7.19,-13.86,-1.24,129.22,2014-06-01,13.51,97.26,97.26,97.26
235,WOCKPHARMA,01-04-2014,Largecap,Healthcare,Completed,752.53,752.53,2014-09-01,672.21,2014-10-01,Stop Loss,1,-10.67,-74.19,-10.67,786.81,2014-09-01,18.9,672.21,,1158.07
236,BHARTIARTL,01-04-2014,Largecap,Telecom-Service,Completed,290.62,290.62,2014-05-01,283.38,2014-06-01,Stop Loss,1,-2.49,-26.1,-2.49,308.83,2014-06-01,11.65,283.38,,299.41
237,PNB,01-04-2014,Largecap,Bank,Completed,147.81,147.81,2014-05-01,160.6,2014-09-01,Target 1 - Red Doji,4,8.65,28.26,2.1,193.29,2014-05-01,5.55,,160.6,150.36
238,NOIDATOLL,01-04-2014,Smallcap,Realty,Completed,23.78,23.78,2014-05-01,27.48,2015-03-01,Target 1 - Red Doji,10,15.54,18.93,1.46,30.77,2014-11-01,9.3,21.1,27.48,21.1
239,ASTRAMICRO,01-04-2014,Midcap,Aerospace & Defence,Completed,64.17,64.17,2014-05-01,103.11,2014-09-01,Target 1 - Red Doji,4,60.68,314.83,12.59,144.67,2014-07-01,2.08,,103.11,103.34
240,NECLIFE,01-04-2014,Smallcap,Healthcare,Completed,32.21,32.21,2014-05-01,28.97,2014-06-01,Stop Loss,1,-10.06,-71.99,-10.06,34.33,2014-06-01,21.04,28.97,,27.73
241,KTKBANK,01-04-2014,Midcap,Bank,Completed,68.33,68.33,2014-05-01,66.78,2014-08-01,Stop Loss,3,-2.27,-8.78,-0.76,79.45,2014-05-01,9.26,66.78,,61.42
242,GSPL,01-04-2014,Midcap,Energy,Completed,66.15,66.15,2014-05-01,107.24,2015-05-01,Target 1 - Red Doji,12,62.11,62.11,4.11,120.99,2015-01-01,6.79,,107.24,
243,SADBHAV,01-04-2014,Smallcap,Realty,Completed,137.03,137.03,2014-05-01,204.89,2016-02-01,Target 2 - Below 21 EMA,21,49.53,25.85,1.93,378.06,2015-03-01,11.57,,,204.89
244,KEC,01-04-2014,Largecap,Realty,Completed,77.0,77.0,2014-05-01,86.61,2014-12-01,Target 2 - Below 21 EMA,7,12.49,22.35,1.7,141.89,2014-07-01,10.24,,,86.61
245,KCPSUGIND,01-04-2014,Smallcap,FMCG,Completed,17.99,17.99,2014-05-01,16.94,2015-03-01,Stop Loss,10,-5.87,-7.0,-0.6,25.09,2014-06-01,17.73,16.94,,16.94
246,KARURVYSYA,01-04-2014,Midcap,Bank,Completed,46.99,46.99,2014-05-01,64.66,2015-03-01,Target 1 - Red Doji,10,37.62,46.69,3.24,73.59,2015-03-01,8.84,,64.66,57.26
247,MADRASFERT,01-04-2014,Smallcap,Chemicals,Completed,17.4,17.4,2014-05-01,19.65,2014-09-01,Target 1 - Red Doji,4,12.93,44.03,3.09,24.5,2014-06-01,16.67,,19.65,18.05
248,NIFTYPSUBANK,01-04-2014,Smallcap,Indices,No Data,,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
249,BEML,02-05-2014,Midcap,Aerospace & Defence,Completed,540.81,540.81,2014-06-01,490.62,2014-07-01,Stop Loss,1,-9.28,-68.93,-9.28,682.98,2014-06-01,16.53,490.62,479.52,819.1
250,BEL,02-05-2014,Largecap,Aerospace & Defence,Completed,14.42,14.42,2014-06-01,25.82,2015-04-01,Target 1 - Red Doji,10,79.05,101.17,6.0,34.69,2015-02-01,6.9,,25.82,26.01
251,BLUESTARCO,02-05-2014,Largecap,Consumer Discretionary,Completed,123.66,123.66,2014-06-01,135.84,2015-04-01,Target 2 - Below 21 EMA,10,9.85,11.93,0.94,171.76,2014-11-01,3.66,,,135.84
252,MRPL,02-05-2014,Largecap,Energy,Completed,68.69,68.69,2015-07-01,47.1,2015-08-01,Stop Loss,1,-31.44,-98.92,-31.44,70.73,2015-08-01,41.27,47.1,,47.1
253,DCW,02-05-2014,Smallcap,Energy,Completed,18.58,18.58,2014-06-01,23.81,2014-10-01,Target 1 - Red Doji,4,28.19,110.67,6.41,30.64,2014-09-01,12.76,16.94,23.81,16.94
254,EIDPARRY,02-05-2014,Midcap,FMCG,Completed,185.96,185.96,2014-06-01,173.53,2014-07-01,Stop Loss,1,-6.68,-56.39,-6.68,205.49,2014-06-01,9.59,173.53,,172.46
255,ELECTCAST,02-05-2014,Midcap,Industrials,Completed,28.78,28.78,2014-06-01,24.49,2014-07-01,Stop Loss,1,-14.9,-85.57,-14.9,30.47,2014-06-01,19.2,24.49,,18.16
256,JISLJALEQS,02-05-2014,Smallcap,Plastic products,Completed,116.47,116.47,2014-06-01,93.98,2014-07-01,Stop Loss,1,-19.31,-92.38,-19.31,122.43,2014-07-01,22.77,93.98,,81.73
257,MANALIPETC,02-05-2014,Smallcap,Energy,Completed,10.72,10.72,2014-06-01,9.3,2014-07-01,Stop Loss,1,-13.24,-81.8,-13.24,11.11,2014-06-01,18.38,9.3,31.2,
258,UNIENTER,02-05-2014,Smallcap,Services,Completed,25.82,25.82,2014-06-01,24.51,2014-07-01,Stop Loss,1,-5.06,-46.37,-5.06,29.08,2014-07-01,16.86,24.51,,23.33
259,TATASTEEL,02-05-2014,Largecap,Metals & Mining,Completed,34.66,34.66,2014-06-01,32.8,2014-09-01,Stop Loss,3,-5.38,-19.84,-1.83,40.64,2014-08-01,6.9,32.8,,32.8
260,GNFC,02-05-2014,Midcap,Chemicals,Completed,74.88,74.88,2014-06-01,69.1,2014-07-01,Stop Loss,1,-7.71,-61.83,-7.71,84.9,2014-07-01,9.25,69.1,,64.0
261,NOCIL,02-05-2014,Smallcap,Chemicals,Completed,20.05,20.05,2014-06-01,18.73,2014-07-01,Stop Loss,1,-6.6,-55.91,-6.6,22.48,2014-06-01,13.83,18.73,33.31,32.87
262,NIPPOBATRY,02-05-2014,Smallcap,Industrials,Completed,170.25,170.25,2014-06-01,165.01,2014-07-01,Stop Loss,1,-3.08,-31.3,-3.08,176.1,2014-07-01,12.86,165.01,287.74,359.7
